repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,9,4,8597,968,5.0,3.0,3.0,True
Freelander/Android_Data,https://github.com/Freelander/Android_Data,7,0,8595,116,2.0,1.0,3.0,True
huanghaibin-dev/CalendarView,https://github.com/huanghaibin-dev/CalendarView,6,0,8590,11557,4.0,5.0,3.0,True
Blankj/awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,5,0,8513,1772,2.0,1.0,1.0,True
facebook/buck,https://github.com/facebook/buck,9,57,8498,503574,5.0,27.0,1.0,True
roughike/BottomBar,https://github.com/roughike/BottomBar,6,4,8430,2834,2.0,4.0,0.0,True
junit-team/junit4,https://github.com/junit-team/junit4,14,13,8415,32915,3.0,13.0,0.0,True
firebase/quickstart-android,https://github.com/firebase/quickstart-android,6,0,8386,6647,3.0,3.0,0.0,True
ybq/Android-SpinKit,https://github.com/ybq/Android-SpinKit,6,0,8374,1812,5.0,9.0,1.0,True
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,12,137,8362,41279,4.0,13.0,0.0,True
languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,9,0,8324,194938,3.0,28.0,1.0,True
debezium/debezium,https://github.com/debezium/debezium,7,0,8213,140120,4.0,25.0,1.0,True
supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,3,21,8204,43508,7.0,6.0,3.0,True
