repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
ZHENFENG13/My-Blog,https://github.com/ZHENFENG13/My-Blog,4,0,3040,2411,3.0,4.0,5.0,True
xmuSistone/ViewpagerTransition,https://github.com/xmuSistone/ViewpagerTransition,6,1,3035,588,2.0,4.0,0.0,True
ferredoxin/QNotified,https://github.com/ferredoxin/QNotified,3,28,3030,35499,4.0,7.0,0.0,True
keyboardsurfer/Crouton,https://github.com/keyboardsurfer/Crouton,10,8,3028,1454,5.0,3.0,1.0,True
jgilfelt/android-viewbadger,https://github.com/jgilfelt/android-viewbadger,11,0,3022,563,2.0,3.0,0.0,True
apache/logging-log4j2,https://github.com/apache/logging-log4j2,9,0,3022,166465,4.0,55.0,1.0,True
rememberber/WePush,https://github.com/rememberber/WePush,5,50,3012,20209,3.0,7.0,1.0,True
dmytrodanylyk/android-process-button,https://github.com/dmytrodanylyk/android-process-button,8,1,3012,941,4.5,4.0,1.0,True
ZieIony/Carbon,https://github.com/ZieIony/Carbon,8,2,3009,38604,3.0,7.0,1.0,True
shopizer-ecommerce/shopizer,https://github.com/shopizer-ecommerce/shopizer,10,18,3008,53577,4.0,6.0,2.0,True
KeepSafe/dexcount-gradle-plugin,https://github.com/KeepSafe/dexcount-gradle-plugin,7,21,3006,2472,3.0,4.0,1.0,True
yarolegovich/SlidingRootNav,https://github.com/yarolegovich/SlidingRootNav,5,1,3004,971,3.0,4.0,0.0,True
jd-alexander/LikeButton,https://github.com/jd-alexander/LikeButton,7,14,3001,781,4.5,2.0,1.0,True
pedrovgs/DraggablePanel,https://github.com/pedrovgs/DraggablePanel,8,10,3001,1975,4.0,3.0,1.0,True
guolindev/booksource,https://github.com/guolindev/booksource,6,0,3001,4992,2.0,3.0,0.0,True
JackyAndroid/AndroidChromium,https://github.com/JackyAndroid/AndroidChromium,6,2,3000,139119,3.0,21.0,0.0,True
facebookarchive/react-native-fbsdk,https://github.com/facebookarchive/react-native-fbsdk,7,22,2996,1241,5.5,4.0,1.0,True
yui/yuicompressor,https://github.com/yui/yuicompressor,14,1,2993,6075,2.0,4.0,8.0,True
cSploit/android,https://github.com/cSploit/android,8,33,2992,22657,2.0,9.0,0.0,True
RoaringBitmap/RoaringBitmap,https://github.com/RoaringBitmap/RoaringBitmap,9,9,2992,71413,4.0,7.0,1.0,True
apache/linkis,https://github.com/apache/linkis,3,28,2987,74434,2.0,6.0,1.0,True
spotbugs/spotbugs,https://github.com/spotbugs/spotbugs,6,57,2987,192872,2.0,15.0,0.0,True
google/bundletool,https://github.com/google/bundletool,4,50,2985,49790,7.0,25.0,6.0,True
yusugomori/DeepLearning,https://github.com/yusugomori/DeepLearning,10,0,2983,1083,4.0,2.0,0.0,True
lovetuzitong/MultiImageSelector,https://github.com/lovetuzitong/MultiImageSelector,7,2,2981,1425,3.0,2.0,0.0,True
szerhusenBC/jwt-spring-security-demo,https://github.com/szerhusenBC/jwt-spring-security-demo,6,3,2976,549,4.0,2.0,0.0,True
helidon-io/helidon,https://github.com/helidon-io/helidon,4,70,2973,293934,4.0,28.0,1.0,True
ltsopensource/light-task-scheduler,https://github.com/ltsopensource/light-task-scheduler,8,29,2973,45904,2.5,6.0,0.0,True
AxonFramework/AxonFramework,https://github.com/AxonFramework/AxonFramework,11,109,2970,120189,4.0,16.0,0.0,True
stephanenicolas/robospice,https://github.com/stephanenicolas/robospice,10,1,2968,14955,4.0,8.0,0.0,True
mmin18/RealtimeBlurView,https://github.com/mmin18/RealtimeBlurView,6,0,2967,676,4.0,5.0,0.0,True
Snailclimb/guide-rpc-framework,https://github.com/Snailclimb/guide-rpc-framework,2,0,2964,1560,4.0,4.0,0.0,True
jasonross/Nuwa,https://github.com/jasonross/Nuwa,7,0,2964,130,3.5,2.0,0.0,True
wix/react-native-notifications,https://github.com/wix/react-native-notifications,6,24,2957,1543,4.0,3.0,1.0,True
CrawlScript/WebCollector,https://github.com/CrawlScript/WebCollector,8,0,2957,4617,3.0,9.0,1.0,True
kiegroup/optaplanner,https://github.com/kiegroup/optaplanner,12,0,2941,154626,5.0,23.0,1.0,True
bmelnychuk/AndroidTreeView,https://github.com/bmelnychuk/AndroidTreeView,8,0,2939,2145,4.0,3.0,0.0,True
halirutan/IntelliJ-Key-Promoter-X,https://github.com/halirutan/IntelliJ-Key-Promoter-X,5,23,2937,1124,5.0,6.0,0.0,True
JackyAndroid/AndroidTVLauncher,https://github.com/JackyAndroid/AndroidTVLauncher,6,3,2932,1086,4.0,3.0,0.0,True
bastillion-io/Bastillion,https://github.com/bastillion-io/Bastillion,10,17,2930,5129,4.0,3.0,3.0,True
hneemann/Digital,https://github.com/hneemann/Digital,6,34,2928,75583,3.0,36.0,0.0,True
KeepSafe/ReLinker,https://github.com/KeepSafe/ReLinker,7,12,2927,1224,2.0,4.0,0.0,True
JabRef/jabref,https://github.com/JabRef/jabref,9,37,2922,118583,5.0,7.0,0.0,True
apache/curator,https://github.com/apache/curator,9,0,2919,47366,3.0,7.0,0.0,True
googlesamples/android-vision,https://github.com/googlesamples/android-vision,7,0,2915,5734,3.0,3.0,0.0,True
mbechler/marshalsec,https://github.com/mbechler/marshalsec,5,0,2913,2207,6.0,5.0,1.0,True
201206030/novel-plus,https://github.com/201206030/novel-plus,2,19,2913,13670,3.0,4.0,0.0,True
lihangleo2/ShadowLayout,https://github.com/lihangleo2/ShadowLayout,3,27,2911,2056,4.0,2.0,1.0,True
yacy/yacy_search_server,https://github.com/yacy/yacy_search_server,7,0,2909,154101,4.0,10.0,0.0,True
